DAY CARE CENTER,ALPINE CHILDREN'S ACADEMY,LICENSED,2,3,2403 ALPINE BOULEVARD,ALPINE,91901
DAY CARE CENTER,ALPINE COUNTRY DAY SCHOOL,LICENSED,1,2,1508 MIDWAY DRIVE,ALPINE,91901
DAY CARE CENTER,AN- NUR ACADEMY CHILD CARE PRESCHOOL,LICENSED,0,0,7520 EL CAJON BOULEVARD #108,LA MESA,91942
DAY CARE CENTER,APPLE YOUCHIEN,LICENSED,0,0,2550 FAIRFIELD STREET,SAN DIEGO,92110
DAY CARE CENTER,ASCENSION LUTHERAN CHILDREN'S CENTER,LICENSED,0,0,5106 ZION AVENUE,SAN DIEGO,92120
DAY CARE CENTER,ASCENSION LUTHERAN PRESCHOOL,CLOSED,0,0,1140 N. MIDWAY DRIVE,ESCONDIDO,92027
DAY CARE CENTER,ASPEN LEAF PRESCHOOL,LICENSED,0,0,3518 THIRD AVENUE,SAN DIEGO,92103
DAY CARE CENTER,ASPEN LEAF PRESCHOOL,LICENSED,0,0,3111 30TH STREET,SAN DIEGO,92104
DAY CARE CENTER,ASPEN LEAF PRESCHOOL-BARRY TED MOSKOWITZ CCC,LICENSED,0,0,880 FRONT STREET SUITE 1295,SAN DIEGO,92101
DAY CARE CENTER,ASPIRATIONS SCHOOL OF LEARNING,LICENSED,0,0,6286 EL CAMINO REAL,CARLSBAD,92009
DAY CARE CENTER,ASPIRATIONS SCHOOL OF LEARNING,CLOSED,0,0,6286 EL CAMINO REAL,CARLSBAD,92009
DAY CARE CENTER,ASSOCIATED STUDENTS CHILD CARE CENTER,LICENSED,0,1,5500 CAMPANILE DRIVE,SAN DIEGO,92182
DAY CARE CENTER,AU CLAIR DE LUNE,LICENSED,0,0,1976-1978 COOLIDGE STREET,SAN DIEGO,92111
DAY CARE CENTER,AUDUBON STATE PRESCHOOL,LICENSED,0,0,8111 SAN VICENTE STREET,SAN DIEGO,92114
DAY CARE CENTER,AUNTY LYNN'S DAYCARE CENTERS INC.,LICENSED,0,0,1107 EAST WASHINGTON AVENUE,EL CAJON,92019
DAY CARE CENTER,BABY ANGELS CENTER #2,LICENSED,0,1,618 FOURTH AVENUE,CHULA VISTA,91910
DAY CARE CENTER,BABYLON PALACE CHILD CARE CENTER,CLOSED,0,0,456 NORTH MAGNOLIA AVENUE,EL CAJON,92020
DAY CARE CENTER,BAKER STATE PRESCHOOL,LICENSED,0,1,4041 T STREET,SAN DIEGO,92113
DAY CARE CENTER,BALBOA STATE PRESCHOOL,LICENSED,0,0,1844 SOUTH 40TH STREET,SAN DIEGO,92113
DAY CARE CENTER,BALDERRAMA CHILD DEVELOPMENT CENTER,LICENSED,0,0,709 SAN DIEGO ST.,OCEANSIDE,92058
DAY CARE CENTER,BALDWIN ACADEMY,LICENSED,0,1,1752 HORNBLEND STREET,SAN DIEGO,92109
DAY CARE CENTER,BARNARD PRESCHOOL,CLOSED,0,0,2445 FOGG STREET,SAN DIEGO,92109
DAY CARE CENTER,BARRIO LOGAN CHILD DEVELOPMENT CENTER,LICENSED,0,2,2138 LOGAN AVENUE,SAN DIEGO,92113
DAY CARE CENTER,BARRY TED MOSKOWITZ CHILD CARE CENTER,CLOSED,0,0,880 FRONT STREET SUITE 1295,SAN DIEGO,92101
DAY CARE CENTER,BAY PARK EARLY LEARNING CENTER,LICENSED,0,0,1955 CHICAGO STREET,SAN DIEGO,92110
DAY CARE CENTER,BAY PARK EARLY LEARNING CENTER,LICENSED,0,0,1969 CHICAGO STREET,SAN DIEGO,92110
DAY CARE CENTER,BAY PARK EARLY LEARNING CENTER,CLOSED,0,0,1969 CHICAGO STREET,SAN DIEGO,92110
DAY CARE CENTER,BAY POINT STATE PRESCHOOL,LICENSED,0,0,2850 WASP WAY,SAN DIEGO,92106
DAY CARE CENTER,BAYVIEW CHILDREN'S CENTER,CLOSED,0,0,2485 FELSPAR,SAN DIEGO,92109
DAY CARE CENTER,BELLA LENGUA OCEANSIDE,CLOSED,0,0,509 SPORTFISHER DRIVE,OCEANSIDE,92054
DAY CARE CENTER,BELLA MENTE STAR PRESCHOOL,CLOSED,0,0,1737 W VISTA WAY,VISTA,92084
DAY CARE CENTER,BEREAN BIBLE BAPTIST ACADEMY,CLOSED,0,0,881 KUHN DRIVE #102,CHULA VISTA,91914
DAY CARE CENTER,BEREAN BIBLE BAPTIST ACADEMY,LICENSED,0,0,345 FIFTH AVENUE,CHULA VISTA,91910
DAY CARE CENTER,BETH MONTESSORI,LICENSED,1,5,8660 GILMAN DRIVE,LA JOLLA,92037
DAY CARE CENTER,BETHEL BAPTIST PRESCHOOL,CLOSED,0,0,855 BROTHERTON ROAD,ESCONDIDO,92025
DAY CARE CENTER,BETHLEHEM COMMUNITY EARLY CHILDHOOD CENTER,LICENSED,0,4,925 BALOUR DRIVE,ENCINITAS,92024
DAY CARE CENTER,BIG FUTURE CHARTER PRESCHOOL,LICENSED,2,1,933 WEST SAN MARCOS BOULEVARD,SAN MARCOS,92078
DAY CARE CENTER,BIG FUTURE PRESCHOOL,LICENSED,0,0,15010 POMERADO ROAD,POWAY,92064
DAY CARE CENTER,BIG FUTURE PRESCHOOL,LICENSED,0,0,2634 EL CAMINO REAL,CARLSBAD,92008
DAY CARE CENTER,BIG SKY PRESCHOOL - CLAIREMONT MESA,CLOSED,0,0,3580 MOUNT ACADIA BOULEVARD,SAN DIEGO,92111
DAY CARE CENTER,BIG SKY PRESCHOOL CLAIREMONT,CLOSED,0,0,3580 MOUNT ACADIA BOULEVARD,SAN DIEGO,92111
DAY CARE CENTER,BIG TREE LITTLE PRESCHOOL INC.,LICENSED,0,1,1600 BUENA VISTA DRIVE,VISTA,92081
DAY CARE CENTER,BISHOP'S SCHOOL CHILDCARE CENTER THE,LICENSED,0,0,7527 CUVIER STREET,LA JOLLA,92037
